Date,Country,Market_Type,Return
2000-01-03,US,DM,-0.009549090000000001
2000-01-04,US,DM,-0.03834472
2000-01-05,US,DM,0.001922225
2000-01-06,US,DM,0.0009557025000000001
2000-01-07,US,DM,0.02709038
2000-01-10,US,DM,0.01118997
2000-01-11,US,DM,-0.01306257
2000-01-12,US,DM,-0.004386331
2000-01-13,US,DM,0.01216966
2000-01-14,US,DM,0.01067132
2000-01-18,US,DM,-0.006832065
2000-01-19,US,DM,0.0005222865
2000-01-20,US,DM,-0.007095268
2000-01-21,US,DM,-0.002912346
2000-01-24,US,DM,-0.02763362
2000-01-25,US,DM,0.006064801000000001
2000-01-26,US,DM,-0.004212677000000001
2000-01-27,US,DM,-0.003938494
2000-01-28,US,DM,-0.02745681
2000-01-31,US,DM,0.02521762
2000-02-01,US,DM,0.01062777
2000-02-02,US,DM,-0.0001135332
2000-02-03,US,DM,0.01124815
2000-02-04,US,DM,-0.00042106150000000003
2000-02-07,US,DM,-9.126842e-05
2000-02-08,US,DM,0.01227321
2000-02-09,US,DM,-0.02082235
2000-02-10,US,DM,0.0036339170000000004
2000-02-11,US,DM,-0.02096935
2000-02-14,US,DM,0.0020329890000000002
2000-02-15,US,DM,0.008712607
2000-02-16,US,DM,-0.01025641
2000-02-17,US,DM,0.0004251731
2000-02-18,US,DM,-0.03037615
2000-02-22,US,DM,0.004516785000000001
2000-02-23,US,DM,0.0063009830000000005
2000-02-24,US,DM,-0.005335528
2000-02-25,US,DM,-0.01482899
2000-02-28,US,DM,0.01101728
2000-02-29,US,DM,0.01362709
2000-03-01,US,DM,0.009345589000000001
2000-03-02,US,DM,0.0018634130000000002
2000-03-03,US,DM,0.01983702
2000-03-06,US,DM,-0.01269542
2000-03-07,US,DM,-0.02563107
2000-03-08,US,DM,0.008173382
2000-03-09,US,DM,0.02560182
2000-03-10,US,DM,-0.0047228700000000005
2000-03-13,US,DM,-0.008207474000000001
2000-03-14,US,DM,-0.01768549
2000-03-15,US,DM,0.02427988
2000-03-16,US,DM,0.04763854
2000-03-17,US,DM,0.0041139
